District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
08,8,2023,Asian,101,462,24,23.8,10,9.9,35,34.7,32,31.7,67,66.3
08,8,2023,Black,324,436,180,55.6,51,15.7,74,22.8,19,5.9,93,28.7
08,8,2023,Hispanic,1134,437,622,54.9,194,17.1,246,21.7,72,6.3,318,28.0
08,8,2023,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
08,8,2023,Native American,24,s,s,s,s,s,s,s,s,s,s,s
08,8,2023,White,74,442,37,50.0,12,16.2,15,20.3,10,13.5,25,33.8
08,All Grades,2023,Asian,775,463,99,12.8,155,20.0,269,34.7,252,32.5,521,67.2
08,All Grades,2023,Black,1829,437,784,42.9,541,29.6,406,22.2,98,5.4,504,27.6
08,All Grades,2023,Hispanic,6858,440,2573,37.5,1999,29.1,1842,26.9,444,6.5,2286,33.3
08,All Grades,2023,Multi-Racial,43,s,s,s,s,s,s,s,s,s,s,s
08,All Grades,2023,Native American,133,s,s,s,s,s,s,s,s,s,s,s
08,All Grades,2023,White,509,449,139,27.3,123,24.2,170,33.4,77,15.1,247,48.5
08,3,2022,Asian,140,601,23,16.4,30,21.4,51,36.4,36,25.7,87,62.1
08,3,2022,Black,299,583,156,52.2,78,26.1,49,16.4,16,5.4,65,21.7
08,3,2022,Hispanic,1108,586,500,45.1,324,29.2,218,19.7,66,6.0,284,25.6
08,3,2022,Multi-Racial,12,592,6,50.0,1,8.3,3,25.0,2,16.7,5,41.7
08,3,2022,Native American,20,594,6,30.0,3,15.0,8,40.0,3,15.0,11,55.0
08,3,2022,White,92,589,38,41.3,25,27.2,20,21.7,9,9.8,29,31.5
08,4,2022,Asian,122,605,14,11.5,37,30.3,33,27.0,38,31.1,71,58.2
08,4,2022,Black,306,582,179,58.5,75,24.5,32,10.5,20,6.5,52,17.0
08,4,2022,Hispanic,1140,584,613,53.8,335,29.4,118,10.4,74,6.5,192,16.8
08,4,2022,Multi-Racial,7,595,2,28.6,2,28.6,2,28.6,1,14.3,3,42.9
08,4,2022,Native American,24,587,13,54.2,5,20.8,3,12.5,3,12.5,6,25.0
08,4,2022,White,88,592,34,38.6,26,29.5,16,18.2,12,13.6,28,31.8
08,5,2022,Asian,141,608,24,17.0,32,22.7,29,20.6,56,39.7,85,60.3
08,5,2022,Black,351,584,220,62.7,77,21.9,33,9.4,21,6.0,54,15.4
08,5,2022,Hispanic,1161,587,658,56.7,259,22.3,146,12.6,98,8.4,244,21.0
08,5,2022,Multi-Racial,10,589,5,50.0,3,30.0,2,20.0,0,0.0,2,20.0
08,5,2022,Native American,22,592,11,50.0,6,27.3,1,4.5,4,18.2,5,22.7
08,5,2022,White,79,593,37,46.8,12,15.2,18,22.8,12,15.2,30,38.0
08,6,2022,Asian,130,599,39,30.0,34,26.2,28,21.5,29,22.3,57,43.8
08,6,2022,Black,305,582,219,71.8,56,18.4,23,7.5,7,2.3,30,9.8
08,6,2022,Hispanic,1158,587,666,57.5,297,25.6,139,12.0,56,4.8,195,16.8
08,6,2022,Multi-Racial,6,594,3,50.0,1,16.7,1,16.7,1,16.7,2,33.3
08,6,2022,Native American,20,589,8,40.0,6,30.0,4,20.0,2,10.0,6,30.0
08,6,2022,White,108,600,30,27.8,27,25.0,21,19.4,30,27.8,51,47.2
08,7,2022,Asian,149,605,30,20.1,39,26.2,38,25.5,42,28.2,80,53.7
08,7,2022,Black,329,585,214,65.0,76,23.1,28,8.5,11,3.3,39,11.9
08,7,2022,Hispanic,1208,587,707,58.5,341,28.2,121,10.0,39,3.2,160,13.2
08,7,2022,Multi-Racial,6,593,2,33.3,3,50.0,0,0.0,1,16.7,1,16.7
08,7,2022,Native American,19,596,8,42.1,5,26.3,4,21.1,2,10.5,6,31.6
08,7,2022,White,90,594,36,40.0,29,32.2,14,15.6,11,12.2,25,27.8
08,8,2022,Asian,103,604,31,30.1,27,26.2,21,20.4,24,23.3,45,43.7
08,8,2022,Black,284,582,206,72.5,52,18.3,20,7.0,6,2.1,26,9.2
08,8,2022,Hispanic,1025,589,633,61.8,245,23.9,97,9.5,50,4.9,147,14.3
08,8,2022,Multi-Racial,7,595,3,42.9,2,28.6,1,14.3,1,14.3,2,28.6
08,8,2022,Native American,21,590,13,61.9,5,23.8,2,9.5,1,4.8,3,14.3
08,8,2022,White,95,601,38,40.0,24,25.3,18,18.9,15,15.8,33,34.7
08,All Grades,2022,Asian,785,604,161,20.5,199,25.4,200,25.5,225,28.7,425,54.1
08,All Grades,2022,Black,1874,583,1194,63.7,414,22.1,185,9.9,81,4.3,266,14.2
08,All Grades,2022,Hispanic,6800,587,3777,55.5,1801,26.5,839,12.3,383,5.6,1222,18.0
08,All Grades,2022,Multi-Racial,48,592,21,43.8,12,25.0,9,18.8,6,12.5,15,31.3
08,All Grades,2022,Native American,126,591,59,46.8,30,23.8,22,17.5,15,11.9,37,29.4
08,All Grades,2022,White,552,595,213,38.6,143,25.9,107,19.4,89,16.1,196,35.5
08,3,2019,Asian,120,607,12,10.0,24,20.0,38,31.7,46,38.3,84,70.0
08,3,2019,Black,396,590,146,36.9,118,29.8,98,24.7,34,8.6,132,33.3
08,3,2019,Hispanic,1347,595,392,29.1,382,28.4,373,27.7,200,14.8,573,42.5
08,3,2019,Multi-Racial,12,597,4,33.3,1,8.3,5,41.7,2,16.7,7,58.3
08,3,2019,Native American,17,598,4,23.5,4,23.5,7,41.2,2,11.8,9,52.9
08,3,2019,White,142,601,27,19.0,33,23.2,48,33.8,34,23.9,82,57.7
08,4,2019,Asian,137,611,17,12.4,18,13.1,36,26.3,66,48.2,102,74.5
08,4,2019,Black,425,589,181,42.6,126,29.6,71,16.7,47,11.1,118,27.8
08,4,2019,Hispanic,1433,593,473,33.0,479,33.4,301,21.0,180,12.6,481,33.6
08,4,2019,Multi-Racial,11,597,4,36.4,1,9.1,4,36.4,2,18.2,6,54.5
08,4,2019,Native American,16,601,3,18.8,6,37.5,4,25.0,3,18.8,7,43.8
08,4,2019,White,123,601,23,18.7,41,33.3,31,25.2,28,22.8,59,48.0
08,5,2019,Asian,115,612,16,13.9,16,13.9,26,22.6,57,49.6,83,72.2
08,5,2019,Black,428,591,210,49.1,89,20.8,75,17.5,54,12.6,129,30.1
08,5,2019,Hispanic,1429,595,562,39.3,352,24.6,302,21.1,213,14.9,515,36.0
08,5,2019,Multi-Racial,11,598,4,36.4,2,18.2,3,27.3,2,18.2,5,45.5
08,5,2019,Native American,21,606,5,23.8,6,28.6,2,9.5,8,38.1,10,47.6
08,5,2019,White,117,604,27,23.1,24,20.5,29,24.8,37,31.6,66,56.4
08,6,2019,Asian,150,610,21,14.0,32,21.3,31,20.7,66,44.0,97,64.7
08,6,2019,Black,396,589,208,52.5,90,22.7,65,16.4,33,8.3,98,24.7
08,6,2019,Hispanic,1397,594,573,41.0,382,27.3,289,20.7,153,11.0,442,31.6
08,6,2019,Multi-Racial,6,600,2,33.3,1,16.7,2,33.3,1,16.7,3,50.0
08,6,2019,Native American,28,602,8,28.6,8,28.6,5,17.9,7,25.0,12,42.9
08,6,2019,White,134,603,30,22.4,32,23.9,40,29.9,32,23.9,72,53.7
08,7,2019,Asian,146,613,17,11.6,34,23.3,31,21.2,64,43.8,95,65.1
08,7,2019,Black,429,591,208,48.5,124,28.9,58,13.5,39,9.1,97,22.6
08,7,2019,Hispanic,1400,593,608,43.4,437,31.2,212,15.1,143,10.2,355,25.4
08,7,2019,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
08,7,2019,Native American,18,s,s,s,s,s,s,s,s,s,s,s
08,7,2019,White,110,601,33,30.0,29,26.4,28,25.5,20,18.2,48,43.6
08,8,2019,Asian,134,618,19,14.2,23,17.2,30,22.4,62,46.3,92,68.7
08,8,2019,Black,469,594,243,51.8,109,23.2,72,15.4,45,9.6,117,24.9
08,8,2019,Hispanic,1386,598,617,44.5,367,26.5,225,16.2,177,12.8,402,29.0
08,8,2019,Multi-Racial,3,s,s,s,s,s,s,s,s,s,s,s
08,8,2019,Native American,30,s,s,s,s,s,s,s,s,s,s,s
08,8,2019,White,152,604,45,29.6,43,28.3,36,23.7,28,18.4,64,42.1
08,All Grades,2019,Asian,802,612,102,12.7,147,18.3,192,23.9,361,45.0,553,69.0
08,All Grades,2019,Black,2543,591,1196,47.0,656,25.8,439,17.3,252,9.9,691,27.2
08,All Grades,2019,Hispanic,8392,595,3225,38.4,2399,28.6,1702,20.3,1066,12.7,2768,33.0
08,All Grades,2019,Multi-Racial,47,596,18,38.3,6,12.8,15,31.9,8,17.0,23,48.9
08,All Grades,2019,Native American,130,603,34,26.2,33,25.4,28,21.5,35,26.9,63,48.5
08,All Grades,2019,White,778,602,185,23.8,202,26.0,212,27.2,179,23.0,391,50.3
08,3,2018,Asian,125,609,11,8.8,24,19.2,53,42.4,37,29.6,90,72.0
08,3,2018,Black,425,591,175,41.2,114,26.8,92,21.6,44,10.4,136,32.0
08,3,2018,Hispanic,1442,593,496,34.4,368,25.5,407,28.2,171,11.9,578,40.1
08,3,2018,Multi-Racial,13,594,5,38.5,2,15.4,3,23.1,3,23.1,6,46.2
08,3,2018,Native American,19,600,2,10.5,6,31.6,7,36.8,4,21.1,11,57.9
08,3,2018,White,136,598,34,25.0,31,22.8,37,27.2,34,25.0,71,52.2
08,4,2018,Asian,115,607,19,16.5,26,22.6,27,23.5,43,37.4,70,60.9
08,4,2018,Black,425,590,192,45.2,127,29.9,52,12.2,54,12.7,106,24.9
08,4,2018,Hispanic,1419,593,550,38.8,428,30.2,238,16.8,203,14.3,441,31.1
08,4,2018,Multi-Racial,10,597,3,30.0,3,30.0,2,20.0,2,20.0,4,40.0
08,4,2018,Native American,22,595,7,31.8,8,36.4,2,9.1,5,22.7,7,31.8
08,4,2018,White,130,599,30,23.1,41,31.5,31,23.8,28,21.5,59,45.4
08,5,2018,Asian,140,609,23,16.4,29,20.7,35,25.0,53,37.9,88,62.9
08,5,2018,Black,459,589,248,54.0,107,23.3,69,15.0,35,7.6,104,22.7
08,5,2018,Hispanic,1456,593,622,42.7,434,29.8,268,18.4,132,9.1,400,27.5
08,5,2018,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
08,5,2018,Native American,27,s,s,s,s,s,s,s,s,s,s,s
08,5,2018,White,136,596,47,34.6,36,26.5,29,21.3,24,17.6,53,39.0
08,6,2018,Asian,139,608,24,17.3,26,18.7,41,29.5,48,34.5,89,64.0
08,6,2018,Black,430,588,226,52.6,119,27.7,59,13.7,26,6.0,85,19.8
08,6,2018,Hispanic,1405,591,665,47.3,411,29.3,214,15.2,115,8.2,329,23.4
08,6,2018,Multi-Racial,5,s,s,s,s,s,s,s,s,s,s,s
08,6,2018,Native American,22,s,s,s,s,s,s,s,s,s,s,s
08,6,2018,White,111,599,33,29.7,30,27.0,26,23.4,22,19.8,48,43.2
08,7,2018,Asian,133,610,19,14.3,28,21.1,40,30.1,46,34.6,86,64.7
08,7,2018,Black,484,588,275,56.8,120,24.8,58,12.0,31,6.4,89,18.4
08,7,2018,Hispanic,1390,592,697,50.1,383,27.6,211,15.2,99,7.1,310,22.3
08,7,2018,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
08,7,2018,Native American,32,s,s,s,s,s,s,s,s,s,s,s
08,7,2018,White,150,598,48,32.0,49,32.7,39,26.0,14,9.3,53,35.3
08,8,2018,Asian,111,610,26,23.4,25,22.5,25,22.5,35,31.5,60,54.1
08,8,2018,Black,390,593,204,52.3,115,29.5,44,11.3,27,6.9,71,18.2
08,8,2018,Hispanic,1249,595,581,46.5,389,31.1,160,12.8,119,9.5,279,22.3
08,8,2018,Multi-Racial,8,602,3,37.5,2,25.0,1,12.5,2,25.0,3,37.5
08,8,2018,Native American,20,598,8,40.0,8,40.0,2,10.0,2,10.0,4,20.0
08,8,2018,White,139,600,46,33.1,50,36.0,24,17.3,19,13.7,43,30.9
08,All Grades,2018,Asian,763,609,122,16.0,158,20.7,221,29.0,262,34.3,483,63.3
08,All Grades,2018,Black,2613,590,1320,50.5,702,26.9,374,14.3,217,8.3,591,22.6
08,All Grades,2018,Hispanic,8361,593,3611,43.2,2413,28.9,1498,17.9,839,10.0,2337,28.0
08,All Grades,2018,Multi-Racial,44,597,14,31.8,11,25.0,11,25.0,8,18.2,19,43.2
08,All Grades,2018,Native American,142,598,49,34.5,37,26.1,29,20.4,27,19.0,56,39.4
08,All Grades,2018,White,802,599,238,29.7,237,29.6,186,23.2,141,17.6,327,40.8
09,3,2025,Asian,13,470,0,0.0,3,23.1,5,38.5,5,38.5,10,76.9
09,3,2025,Black,388,452,55,14.2,120,30.9,156,40.2,57,14.7,213,54.9
09,3,2025,Hispanic,1229,448,211,17.2,426,34.7,455,37.0,137,11.1,592,48.2
09,3,2025,Multi-Racial,15,448,3,20.0,4,26.7,6,40.0,2,13.3,8,53.3
09,3,2025,Native American,13,449,0,0.0,6,46.2,6,46.2,1,7.7,7,53.8
09,3,2025,White,21,454,3,14.3,7,33.3,9,42.9,2,9.5,11,52.4
09,4,2025,Asian,18,446,5,27.8,4,22.2,7,38.9,2,11.1,9,50.0
09,4,2025,Black,396,446,96,24.2,134,33.8,133,33.6,33,8.3,166,41.9
09,4,2025,Hispanic,1198,445,383,32.0,341,28.5,360,30.1,114,9.5,474,39.6
09,4,2025,Multi-Racial,7,446,1,14.3,5,71.4,0,0.0,1,14.3,1,14.3
09,4,2025,Native American,12,438,4,33.3,5,41.7,2,16.7,1,8.3,3,25.0
09,4,2025,White,21,450,2,9.5,9,42.9,9,42.9,1,4.8,10,47.6
09,5,2025,Asian,23,447,7,30.4,4,17.4,11,47.8,1,4.3,12,52.2
09,5,2025,Black,447,443,161,36.0,123,27.5,119,26.6,44,9.8,163,36.5
09,5,2025,Hispanic,1257,442,463,36.8,347,27.6,346,27.5,101,8.0,447,35.6
09,5,2025,Multi-Racial,9,437,3,33.3,4,44.4,1,11.1,1,11.1,2,22.2
09,5,2025,Native American,18,442,7,38.9,5,27.8,3,16.7,3,16.7,6,33.3
09,5,2025,White,23,437,7,30.4,10,43.5,6,26.1,0,0.0,6,26.1
09,6,2025,Asian,16,459,6,37.5,3,18.8,1,6.3,6,37.5,7,43.8
09,6,2025,Black,391,437,162,41.4,135,34.5,74,18.9,20,5.1,94,24.0
09,6,2025,Hispanic,1138,439,447,39.3,335,29.4,290,25.5,66,5.8,356,31.3
09,6,2025,Multi-Racial,8,444,3,37.5,3,37.5,2,25.0,0,0.0,2,25.0
09,6,2025,Native American,15,441,5,33.3,6,40.0,4,26.7,0,0.0,4,26.7
09,6,2025,White,19,447,7,36.8,5,26.3,5,26.3,2,10.5,7,36.8
09,7,2025,Asian,14,480,0,0.0,2,14.3,3,21.4,9,64.3,12,85.7
09,7,2025,Black,398,446,111,27.9,133,33.4,91,22.9,63,15.8,154,38.7
09,7,2025,Hispanic,1243,447,278,22.4,437,35.2,346,27.8,182,14.6,528,42.5
09,7,2025,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
09,7,2025,Native American,12,s,s,s,s,s,s,s,s,s,s,s
09,7,2025,White,21,454,3,14.3,6,28.6,8,38.1,4,19.0,12,57.1
09,8,2025,Asian,12,485,1,8.3,0,0.0,1,8.3,10,83.3,11,91.7
09,8,2025,Black,338,447,127,37.6,56,16.6,106,31.4,49,14.5,155,45.9
09,8,2025,Hispanic,989,447,352,35.6,194,19.6,310,31.3,133,13.4,443,44.8
09,8,2025,Multi-Racial,6,442,2,33.3,2,33.3,2,33.3,0,0.0,2,33.3
09,8,2025,Native American,9,446,5,55.6,1,11.1,1,11.1,2,22.2,3,33.3
09,8,2025,White,22,452,6,27.3,5,22.7,7,31.8,4,18.2,11,50.0
09,All Grades,2025,Asian,96,462,19,19.8,16,16.7,28,29.2,33,34.4,61,63.5
09,All Grades,2025,Black,2358,445,712,30.2,701,29.7,679,28.8,266,11.3,945,40.1
09,All Grades,2025,Hispanic,7054,445,2134,30.3,2080,29.5,2107,29.9,733,10.4,2840,40.3
09,All Grades,2025,Multi-Racial,49,s,s,s,s,s,s,s,s,s,s,s
09,All Grades,2025,Native American,79,s,s,s,s,s,s,s,s,s,s,s
09,All Grades,2025,White,127,449,28,22.0,42,33.1,44,34.6,13,10.2,57,44.9
09,3,2024,Asian,21,445,5,23.8,8,38.1,6,28.6,2,9.5,8,38.1
09,3,2024,Black,400,442,89,22.3,158,39.5,125,31.3,28,7.0,153,38.3
09,3,2024,Hispanic,1205,442,268,22.2,466,38.7,368,30.5,103,8.5,471,39.1
09,3,2024,Multi-Racial,5,s,s,s,s,s,s,s,s,s,s,s
09,3,2024,Native American,18,s,s,s,s,s,s,s,s,s,s,s
09,3,2024,White,30,442,6,20.0,13,43.3,9,30.0,2,6.7,11,36.7
09,4,2024,Asian,22,450,4,18.2,5,22.7,12,54.5,1,4.5,13,59.1
09,4,2024,Black,452,443,165,36.5,108,23.9,137,30.3,42,9.3,179,39.6
09,4,2024,Hispanic,1238,440,451,36.4,341,27.5,369,29.8,77,6.2,446,36.0
09,4,2024,Multi-Racial,7,449,2,28.6,1,14.3,3,42.9,1,14.3,4,57.1
09,4,2024,Native American,13,437,6,46.2,3,23.1,3,23.1,1,7.7,4,30.8
09,4,2024,White,21,448,3,14.3,9,42.9,8,38.1,1,4.8,9,42.9
09,5,2024,Asian,13,463,1,7.7,4,30.8,5,38.5,3,23.1,8,61.5
09,5,2024,Black,449,437,211,47.0,103,22.9,112,24.9,23,5.1,135,30.1
09,5,2024,Hispanic,1195,439,515,43.1,320,26.8,271,22.7,89,7.4,360,30.1
09,5,2024,Multi-Racial,7,432,4,57.1,2,28.6,1,14.3,0,0.0,1,14.3
09,5,2024,Native American,14,442,5,35.7,6,42.9,1,7.1,2,14.3,3,21.4
09,5,2024,White,18,440,7,38.9,5,27.8,5,27.8,1,5.6,6,33.3
09,6,2024,Asian,18,471,3,16.7,2,11.1,5,27.8,8,44.4,13,72.2
09,6,2024,Black,431,438,176,40.8,135,31.3,99,23.0,21,4.9,120,27.8
09,6,2024,Hispanic,1293,439,497,38.4,402,31.1,337,26.1,57,4.4,394,30.5
09,6,2024,Multi-Racial,7,436,4,57.1,1,14.3,2,28.6,0,0.0,2,28.6
09,6,2024,Native American,12,432,6,50.0,3,25.0,3,25.0,0,0.0,3,25.0
09,6,2024,White,21,440,9,42.9,6,28.6,4,19.0,2,9.5,6,28.6
09,7,2024,Asian,21,473,1,4.8,4,19.0,4,19.0,12,57.1,16,76.2
09,7,2024,Black,454,446,135,29.7,143,31.5,109,24.0,67,14.8,176,38.8
09,7,2024,Hispanic,1312,447,312,23.8,457,34.8,369,28.1,174,13.3,543,41.4
09,7,2024,Multi-Racial,6,444,2,33.3,0,0.0,3,50.0,1,16.7,4,66.7
09,7,2024,Native American,12,445,4,33.3,4,33.3,2,16.7,2,16.7,4,33.3
09,7,2024,White,28,456,3,10.7,10,35.7,10,35.7,5,17.9,15,53.6
09,8,2024,Asian,17,471,1,5.9,3,17.6,5,29.4,8,47.1,13,76.5
09,8,2024,Black,432,440,203,47.0,91,21.1,93,21.5,45,10.4,138,31.9
09,8,2024,Hispanic,1061,443,452,42.6,219,20.6,269,25.4,121,11.4,390,36.8
09,8,2024,Multi-Racial,1,s,s,s,s,s,s,s,s,s,s,s
09,8,2024,Native American,5,s,s,s,s,s,s,s,s,s,s,s
09,8,2024,White,11,426,8,72.7,2,18.2,1,9.1,0,0.0,1,9.1
09,All Grades,2024,Asian,112,461,15,13.4,26,23.2,37,33.0,34,30.4,71,63.4
09,All Grades,2024,Black,2618,441,979,37.4,738,28.2,675,25.8,226,8.6,901,34.4
09,All Grades,2024,Hispanic,7304,442,2495,34.2,2205,30.2,1983,27.1,621,8.5,2604,35.7
09,All Grades,2024,Multi-Racial,33,439,14,42.4,6,18.2,11,33.3,2,6.1,13,39.4
09,All Grades,2024,Native American,74,437,30,40.5,26,35.1,13,17.6,5,6.8,18,24.3
09,All Grades,2024,White,129,444,36,27.9,45,34.9,37,28.7,11,8.5,48,37.2
09,3,2023,Asian,25,447,7,28.0,8,32.0,6,24.0,4,16.0,10,40.0
09,3,2023,Black,447,441,123,27.5,169,37.8,111,24.8,44,9.8,155,34.7
09,3,2023,Hispanic,1178,440,332,28.2,458,38.9,299,25.4,89,7.6,388,32.9
09,3,2023,Multi-Racial,6,437,2,33.3,2,33.3,1,16.7,1,16.7,2,33.3
09,3,2023,Native American,15,441,4,26.7,7,46.7,2,13.3,2,13.3,4,26.7
09,3,2023,White,23,443,5,21.7,6,26.1,11,47.8,1,4.3,12,52.2
09,4,2023,Asian,16,452,6,37.5,2,12.5,3,18.8,5,31.3,8,50.0
09,4,2023,Black,466,437,201,43.1,130,27.9,122,26.2,13,2.8,135,29.0
09,4,2023,Hispanic,1345,437,585,43.5,356,26.5,346,25.7,58,4.3,404,30.0
09,4,2023,Multi-Racial,7,436,2,28.6,4,57.1,1,14.3,0,0.0,1,14.3
09,4,2023,Native American,12,447,3,25.0,5,41.7,2,16.7,2,16.7,4,33.3
09,4,2023,White,21,436,10,47.6,5,23.8,4,19.0,2,9.5,6,28.6
09,5,2023,Asian,16,456,3,18.8,2,12.5,7,43.8,4,25.0,11,68.8
09,5,2023,Black,465,438,210,45.2,127,27.3,101,21.7,27,5.8,128,27.5
09,5,2023,Hispanic,1373,438,577,42.0,428,31.2,307,22.4,61,4.4,368,26.8
09,5,2023,Multi-Racial,7,426,5,71.4,1,14.3,1,14.3,0,0.0,1,14.3
09,5,2023,Native American,14,431,6,42.9,7,50.0,1,7.1,0,0.0,1,7.1
09,5,2023,White,17,440,6,35.3,8,47.1,2,11.8,1,5.9,3,17.6
09,6,2023,Asian,19,458,5,26.3,2,10.5,9,47.4,3,15.8,12,63.2
09,6,2023,Black,478,436,219,45.8,142,29.7,94,19.7,23,4.8,117,24.5
09,6,2023,Hispanic,1335,438,568,42.5,410,30.7,299,22.4,58,4.3,357,26.7
09,6,2023,Multi-Racial,6,444,3,50.0,0,0.0,3,50.0,0,0.0,3,50.0
09,6,2023,Native American,15,438,8,53.3,2,13.3,3,20.0,2,13.3,5,33.3
09,6,2023,White,29,450,8,27.6,5,17.2,14,48.3,2,6.9,16,55.2
09,7,2023,Asian,19,463,1,5.3,5,26.3,7,36.8,6,31.6,13,68.4
09,7,2023,Black,508,440,174,34.3,176,34.6,113,22.2,45,8.9,158,31.1
09,7,2023,Hispanic,1422,442,460,32.3,489,34.4,349,24.5,124,8.7,473,33.3
09,7,2023,Multi-Racial,2,s,s,s,s,s,s,s,s,s,s,s
09,7,2023,Native American,5,s,s,s,s,s,s,s,s,s,s,s
09,7,2023,White,14,431,7,50.0,5,35.7,2,14.3,0,0.0,2,14.3
09,8,2023,Asian,18,469,3,16.7,3,16.7,3,16.7,9,50.0,12,66.7
09,8,2023,Black,427,437,228,53.4,75,17.6,91,21.3,33,7.7,124,29.0
09,8,2023,Hispanic,1123,439,574,51.1,191,17.0,274,24.4,84,7.5,358,31.9
09,8,2023,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
09,8,2023,Native American,11,s,s,s,s,s,s,s,s,s,s,s
09,8,2023,White,27,445,11,40.7,5,18.5,8,29.6,3,11.1,11,40.7
09,All Grades,2023,Asian,113,457,25,22.1,22,19.5,35,31.0,31,27.4,66,58.4
09,All Grades,2023,Black,2791,438,1155,41.4,819,29.3,632,22.6,185,6.6,817,29.3
09,All Grades,2023,Hispanic,7776,439,3096,39.8,2332,30.0,1874,24.1,474,6.1,2348,30.2
09,All Grades,2023,Multi-Racial,32,438,13,40.6,9,28.1,8,25.0,2,6.3,10,31.3
09,All Grades,2023,Native American,72,439,28,38.9,24,33.3,13,18.1,7,9.7,20,27.8
09,All Grades,2023,White,131,442,47,35.9,34,26.0,41,31.3,9,6.9,50,38.2
09,3,2022,Asian,19,595,8,42.1,3,15.8,3,15.8,5,26.3,8,42.1
09,3,2022,Black,437,586,197,45.1,122,27.9,98,22.4,20,4.6,118,27.0
09,3,2022,Hispanic,1311,586,597,45.5,357,27.2,283,21.6,74,5.6,357,27.2
09,3,2022,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
09,3,2022,Native American,12,s,s,s,s,s,s,s,s,s,s,s
09,3,2022,White,22,588,10,45.5,6,27.3,4,18.2,2,9.1,6,27.3
09,4,2022,Asian,18,600,5,27.8,4,22.2,5,27.8,4,22.2,9,50.0
09,4,2022,Black,478,581,277,57.9,114,23.8,56,11.7,31,6.5,87,18.2
09,4,2022,Hispanic,1356,583,743,54.8,364,26.8,167,12.3,82,6.0,249,18.4
09,4,2022,Multi-Racial,5,s,s,s,s,s,s,s,s,s,s,s
09,4,2022,Native American,15,s,s,s,s,s,s,s,s,s,s,s
09,4,2022,White,23,581,14,60.9,3,13.0,3,13.0,3,13.0,6,26.1
09,5,2022,Asian,20,602,6,30.0,6,30.0,3,15.0,5,25.0,8,40.0
09,5,2022,Black,512,584,320,62.5,99,19.3,64,12.5,29,5.7,93,18.2
09,5,2022,Hispanic,1373,585,811,59.1,317,23.1,148,10.8,97,7.1,245,17.8
09,5,2022,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
09,5,2022,Native American,13,s,s,s,s,s,s,s,s,s,s,s
09,5,2022,White,36,591,19,52.8,6,16.7,7,19.4,4,11.1,11,30.6
09,6,2022,Asian,21,601,7,33.3,4,19.0,4,19.0,6,28.6,10,47.6
09,6,2022,Black,479,583,334,69.7,97,20.3,36,7.5,12,2.5,48,10.0
09,6,2022,Hispanic,1320,585,837,63.4,304,23.0,127,9.6,52,3.9,179,13.6
09,6,2022,Multi-Racial,6,598,2,33.3,1,16.7,3,50.0,0,0.0,3,50.0
09,6,2022,Native American,6,586,4,66.7,1,16.7,0,0.0,1,16.7,1,16.7
09,6,2022,White,20,584,13,65.0,3,15.0,4,20.0,0,0.0,4,20.0
09,7,2022,Asian,19,607,4,21.1,4,21.1,5,26.3,6,31.6,11,57.9
09,7,2022,Black,485,587,283,58.4,131,27.0,52,10.7,19,3.9,71,14.6
09,7,2022,Hispanic,1266,590,661,52.2,377,29.8,161,12.7,67,5.3,228,18.0
09,7,2022,Multi-Racial,6,604,0,0.0,3,50.0,3,50.0,0,0.0,3,50.0
09,7,2022,Native American,13,603,4,30.8,3,23.1,4,30.8,2,15.4,6,46.2
09,7,2022,White,37,586,17,45.9,13,35.1,5,13.5,2,5.4,7,18.9
09,8,2022,Asian,17,605,6,35.3,3,17.6,4,23.5,4,23.5,8,47.1
09,8,2022,Black,481,590,290,60.3,106,22.0,51,10.6,34,7.1,85,17.7
09,8,2022,Hispanic,1172,591,689,58.8,271,23.1,139,11.9,73,6.2,212,18.1
09,8,2022,Multi-Racial,5,s,s,s,s,s,s,s,s,s,s,s
09,8,2022,Native American,7,s,s,s,s,s,s,s,s,s,s,s
09,8,2022,White,29,589,20,69.0,4,13.8,3,10.3,2,6.9,5,17.2
09,All Grades,2022,Asian,114,602,36,31.6,24,21.1,24,21.1,30,26.3,54,47.4
09,All Grades,2022,Black,2872,585,1701,59.2,669,23.3,357,12.4,145,5.0,502,17.5
09,All Grades,2022,Hispanic,7798,586,4338,55.6,1990,25.5,1025,13.1,445,5.7,1470,18.9
09,All Grades,2022,Multi-Racial,30,589,15,50.0,6,20.0,9,30.0,0,0.0,9,30.0
09,All Grades,2022,Native American,66,590,32,48.5,13,19.7,13,19.7,8,12.1,21,31.8
09,All Grades,2022,White,167,587,93,55.7,35,21.0,26,15.6,13,7.8,39,23.4
09,3,2019,Asian,23,606,4,17.4,3,13.0,7,30.4,9,39.1,16,69.6
