District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
01,8,2024,Asian,27,475,4,14.8,3,11.1,9,33.3,11,40.7,20,74.1
01,8,2024,Black,47,438,22,46.8,13,27.7,10,21.3,2,4.3,12,25.5
01,8,2024,Hispanic,129,444,50,38.8,32,24.8,32,24.8,15,11.6,47,36.4
01,8,2024,Multi-Racial,2,s,s,s,s,s,s,s,s,s,s,s
01,8,2024,Native American,2,s,s,s,s,s,s,s,s,s,s,s
01,8,2024,White,21,460,2,9.5,6,28.6,8,38.1,5,23.8,13,61.9
01,All Grades,2024,Asian,647,489,15,2.3,42,6.5,160,24.7,430,66.5,590,91.2
01,All Grades,2024,Black,416,440,165,39.7,113,27.2,98,23.6,40,9.6,138,33.2
01,All Grades,2024,Hispanic,1234,444,394,31.9,334,27.1,392,31.8,114,9.2,506,41.0
01,All Grades,2024,Multi-Racial,164,481,6,3.7,16,9.8,51,31.1,91,55.5,142,86.6
01,All Grades,2024,Native American,16,445,2,12.5,7,43.8,6,37.5,1,6.3,7,43.8
01,All Grades,2024,White,457,480,19,4.2,53,11.6,138,30.2,247,54.0,385,84.2
01,3,2023,Asian,124,480,3,2.4,13,10.5,30,24.2,78,62.9,108,87.1
01,3,2023,Black,80,434,32,40.0,27,33.8,13,16.3,8,10.0,21,26.3
01,3,2023,Hispanic,235,437,70,29.8,96,40.9,62,26.4,7,3.0,69,29.4
01,3,2023,Multi-Racial,34,s,s,s,s,s,s,s,s,s,s,s
01,3,2023,Native American,4,s,s,s,s,s,s,s,s,s,s,s
01,3,2023,White,98,473,4,4.1,19,19.4,27,27.6,48,49.0,75,76.5
01,4,2023,Asian,103,483,4,3.9,6,5.8,33,32.0,60,58.3,93,90.3
01,4,2023,Black,82,437,38,46.3,15,18.3,25,30.5,4,4.9,29,35.4
01,4,2023,Hispanic,243,439,95,39.1,64,26.3,71,29.2,13,5.3,84,34.6
01,4,2023,Multi-Racial,28,s,s,s,s,s,s,s,s,s,s,s
01,4,2023,Native American,3,s,s,s,s,s,s,s,s,s,s,s
01,4,2023,White,78,473,8,10.3,8,10.3,25,32.1,37,47.4,62,79.5
01,5,2023,Asian,133,485,3,2.3,12,9.0,31,23.3,87,65.4,118,88.7
01,5,2023,Black,75,432,43,57.3,20,26.7,9,12.0,3,4.0,12,16.0
01,5,2023,Hispanic,231,436,124,53.7,43,18.6,47,20.3,17,7.4,64,27.7
01,5,2023,Multi-Racial,27,s,s,s,s,s,s,s,s,s,s,s
01,5,2023,Native American,3,s,s,s,s,s,s,s,s,s,s,s
01,5,2023,White,90,478,6,6.7,9,10.0,22,24.4,53,58.9,75,83.3
01,6,2023,Asian,134,486,5,3.7,8,6.0,39,29.1,82,61.2,121,90.3
01,6,2023,Black,75,441,31,41.3,20,26.7,17,22.7,7,9.3,24,32.0
01,6,2023,Hispanic,227,441,82,36.1,69,30.4,65,28.6,11,4.8,76,33.5
01,6,2023,Multi-Racial,29,s,s,s,s,s,s,s,s,s,s,s
01,6,2023,Native American,1,s,s,s,s,s,s,s,s,s,s,s
01,6,2023,White,92,483,6,6.5,6,6.5,26,28.3,54,58.7,80,87.0
01,7,2023,Asian,142,485,3,2.1,7,4.9,34,23.9,98,69.0,132,93.0
01,7,2023,Black,95,440,33,34.7,30,31.6,26,27.4,6,6.3,32,33.7
01,7,2023,Hispanic,236,444,68,28.8,73,30.9,71,30.1,24,10.2,95,40.3
01,7,2023,Multi-Racial,34,s,s,s,s,s,s,s,s,s,s,s
01,7,2023,Native American,2,s,s,s,s,s,s,s,s,s,s,s
01,7,2023,White,77,480,1,1.3,11,14.3,18,23.4,47,61.0,65,84.4
01,8,2023,Asian,17,463,1,5.9,4,23.5,8,47.1,4,23.5,12,70.6
01,8,2023,Black,39,441,19,48.7,6,15.4,11,28.2,3,7.7,14,35.9
