Administrative District,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Neither Female nor Male,% Neither Female nor Male,# Asian and Pacific Islander,% Asian and Pacific Islander,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
11,2024-25,"32,903","1,348","2,264","2,230","2,397","2,429","2,429","2,394","2,356","2,549","2,533","2,547","2,083","1,898","1,728","1,718","15,844",48.2%,"17,055",51.8%,4,0.0%,"3,076",9.3%,"10,858",33.0%,"14,891",45.3%,331,1.0%,439,1.3%,"3,262",9.9%,46,0.1%,"7,064",21.5%,"4,497",13.7%,"27,707",84.2%,83.3%
12,2020-21,"19,245",116,930,"1,248","1,473","1,437","1,522","1,569","1,692","1,414","1,454","1,501","1,162","1,386","1,211","1,130","9,440",49.1%,"9,805",50.9%,,,607,3.2%,"4,521",23.5%,"13,434",69.8%,79,0.4%,229,1.2%,285,1.5%,90,0.5%,"4,479",23.3%,"3,969",20.6%,"17,841",92.7%,93.8%
12,2021-22,"18,091",608,872,"1,273","1,209","1,376","1,358","1,419","1,433","1,223","1,349","1,397","1,172","1,204","1,190","1,008","8,768",48.5%,"9,323",51.5%,,,535,3.0%,"4,279",23.7%,"12,684",70.1%,84,0.5%,204,1.1%,242,1.3%,63,0.3%,"4,158",23.0%,"3,900",21.6%,"16,558",91.5%,92.0%
12,2022-23,"17,183",619,952,"1,127","1,274","1,186","1,328","1,311","1,377","1,045","1,182","1,357","1,166","1,166","1,076","1,017","8,397",48.9%,"8,786",51.1%,0,0.0%,489,2.8%,"3,961",23.1%,"12,077",70.3%,88,0.5%,181,1.1%,235,1.4%,152,0.9%,"4,049",23.6%,"3,650",21.2%,"16,038",93.3%,93.9%
12,2023-24,"16,868",614,984,"1,199","1,166","1,248","1,215","1,305","1,307","1,040","1,063","1,228","1,252","1,159","1,135",953,"8,286",49.1%,"8,581",50.9%,1,0.0%,526,3.1%,"3,919",23.2%,"11,908",70.6%,95,0.6%,182,1.1%,227,1.3%,11,0.1%,"4,048",24.0%,"3,713",22.0%,"15,939",94.5%,94.7%
12,2024-25,"16,667",610,979,"1,223","1,235","1,119","1,255","1,223","1,278","1,023","1,081","1,071","1,197","1,255","1,118","1,000","8,132",48.8%,"8,532",51.2%,3,0.0%,516,3.1%,"3,752",22.5%,"11,871",71.2%,122,0.7%,176,1.1%,217,1.3%,13,0.1%,"4,090",24.5%,"3,681",22.1%,"15,648",93.9%,94.1%
13,2020-21,"20,653",89,"1,092","1,047",949,"1,040","1,011",969,957,681,660,672,"2,874","3,051","2,818","2,743","9,813",47.5%,"10,840",52.5%,,,"4,343",21.0%,"8,118",39.3%,"3,583",17.3%,559,2.7%,167,0.8%,"3,637",17.6%,246,1.2%,"2,912",14.1%,882,4.3%,"12,923",62.6%,60.7%
13,2021-22,"20,269",551,994,997,963,870,956,934,896,607,615,629,"2,915","2,781","2,878","2,683","9,746",48.1%,"10,523",51.9%,,,"4,351",21.5%,"7,626",37.6%,"3,628",17.9%,581,2.9%,163,0.8%,"3,677",18.1%,243,1.2%,"2,861",14.1%,881,4.3%,"12,222",60.3%,59.0%
13,2022-23,"19,883",624,"1,094",956,983,926,844,926,906,581,572,587,"2,682","2,849","2,622","2,731","9,638",48.5%,"10,241",51.5%,4,0.0%,"4,282",21.5%,"7,062",35.5%,"3,540",17.8%,622,3.1%,173,0.9%,"3,785",19.0%,419,2.1%,"2,892",14.5%,852,4.3%,"11,954",60.1%,59.6%
13,2023-24,"19,926",745,"1,051","1,058",983,966,897,824,919,589,559,551,"2,846","2,711","2,716","2,511","9,605",48.2%,"10,312",51.8%,9,0.0%,"4,258",21.4%,"6,924",34.7%,"3,675",18.4%,721,3.6%,179,0.9%,"4,004",20.1%,165,0.8%,"3,030",15.2%,865,4.3%,"12,359",62.0%,60.4%
13,2024-25,"20,062",722,"1,094","1,101","1,063",981,957,884,828,565,554,557,"2,685","2,762","2,613","2,696","9,603",47.9%,"10,445",52.1%,14,0.1%,"4,186",20.9%,"6,688",33.3%,"3,854",19.2%,771,3.8%,167,0.8%,"4,184",20.9%,212,1.1%,"2,984",14.9%,"1,014",5.1%,"12,026",59.9%,59.4%
14,2020-21,"17,576",328,"1,174","1,086","1,053","1,069","1,096","1,115","1,105","1,143","1,181","1,207","1,643","1,572","1,460","1,344","8,442",48.0%,"9,134",52.0%,,,"1,050",6.0%,"3,452",19.6%,"9,532",54.2%,327,1.9%,97,0.6%,"2,935",16.7%,183,1.0%,"3,794",21.6%,"1,725",9.8%,"12,805",72.9%,74.9%
14,2021-22,"16,673",635,"1,128",940,"1,004",943,952,989,"1,015",987,"1,056","1,135","1,623","1,552","1,369","1,345","8,050",48.3%,"8,623",51.7%,,,996,6.0%,"3,326",19.9%,"9,031",54.2%,301,1.8%,100,0.6%,"2,790",16.7%,129,0.8%,"3,668",22.0%,"1,660",10.0%,"11,710",70.2%,72.9%
14,2022-23,"16,337",823,"1,148",938,940,938,916,899,958,956,965,"1,039","1,640","1,554","1,380","1,243","7,904",48.4%,"8,431",51.6%,2,0.0%,905,5.5%,"3,202",19.6%,"8,595",52.6%,311,1.9%,100,0.6%,"2,914",17.8%,310,1.9%,"3,588",22.0%,"1,659",10.2%,"11,756",72.0%,75.3%
14,2023-24,"16,263",793,"1,160",963,913,921,932,910,897,931,983,966,"1,551","1,573","1,417","1,353","7,848",48.3%,"8,409",51.7%,6,0.0%,878,5.4%,"3,114",19.1%,"8,691",53.4%,374,2.3%,102,0.6%,"2,887",17.8%,217,1.3%,"3,713",22.8%,"1,763",10.8%,"12,108",74.5%,75.6%
14,2024-25,"16,334",710,"1,117",991,950,946,918,927,926,974,936,"1,024","1,586","1,614","1,398","1,317","7,834",48.0%,"8,491",52.0%,9,0.1%,833,5.1%,"3,024",18.5%,"8,817",54.0%,421,2.6%,103,0.6%,"2,950",18.1%,186,1.1%,"3,622",22.2%,"2,070",12.7%,"11,923",73.0%,74.9%
15,2020-21,"31,261",235,"2,261","2,594","2,687","2,676","2,699","2,710","2,633","2,104","2,085","2,217","1,519","1,809","1,565","1,467","15,653",50.1%,"15,608",49.9%,,,"5,281",16.9%,"4,028",12.9%,"11,115",35.6%,"1,183",3.8%,148,0.5%,"9,250",29.6%,256,0.8%,"6,739",21.6%,"4,385",14.0%,"17,676",56.5%,57.9%
15,2021-22,"29,777",895,"2,132","2,421","2,423","2,371","2,468","2,452","2,501","1,946","1,925","1,975","1,571","1,680","1,511","1,506","15,039",50.5%,"14,738",49.5%,,,"4,920",16.5%,"3,784",12.7%,"10,626",35.7%,"1,227",4.1%,132,0.4%,"8,885",29.8%,203,0.7%,"6,531",21.9%,"4,098",13.8%,"16,217",54.5%,55.6%
15,2022-23,"29,498","1,279","2,227","2,356","2,394","2,333","2,303","2,415","2,361","1,916","1,857","1,903","1,559","1,743","1,474","1,378","14,892",50.5%,"14,591",49.5%,15,0.1%,"4,696",15.9%,"3,534",12.0%,"10,519",35.7%,"1,338",4.5%,126,0.4%,"8,911",30.2%,374,1.3%,"6,615",22.4%,"4,025",13.6%,"16,529",56.0%,56.7%
15,2023-24,"28,859","1,299","2,106","2,386","2,327","2,350","2,316","2,267","2,340","1,751","1,862","1,838","1,408","1,782","1,454","1,373","14,473",50.2%,"14,365",49.8%,21,0.1%,"4,440",15.4%,"3,331",11.5%,"10,654",36.9%,"1,430",5.0%,117,0.4%,"8,781",30.4%,106,0.4%,"6,498",22.5%,"4,151",14.4%,"16,449",57.0%,57.1%
15,2024-25,"28,546","1,302","2,177","2,339","2,290","2,243","2,303","2,294","2,243","1,855","1,718","1,842","1,369","1,677","1,509","1,385","14,348",50.3%,"14,182",49.7%,16,0.1%,"4,235",14.8%,"3,258",11.4%,"10,436",36.6%,"1,587",5.6%,119,0.4%,"8,805",30.8%,106,0.4%,"6,318",22.1%,"4,022",14.1%,"15,761",55.2%,56.4%
16,2020-21,"6,302",444,585,446,434,431,455,432,470,348,287,307,388,411,442,422,"3,018",47.9%,"3,284",52.1%,,,146,2.3%,"4,434",70.4%,"1,270",20.2%,72,1.1%,62,1.0%,268,4.3%,50,0.8%,"1,513",24.0%,325,5.2%,"5,225",82.9%,82.1%
16,2021-22,"5,970",412,521,437,435,417,424,422,430,284,331,276,385,362,386,448,"2,835",47.5%,"3,135",52.5%,,,134,2.2%,"4,126",69.1%,"1,338",22.4%,72,1.2%,60,1.0%,227,3.8%,13,0.2%,"1,453",24.3%,354,5.9%,"4,856",81.3%,82.0%
16,2022-23,"5,701",368,526,433,405,399,397,410,393,276,287,331,302,367,451,356,"2,753",48.3%,"2,947",51.7%,1,0.0%,140,2.5%,"3,843",67.4%,"1,277",22.4%,75,1.3%,63,1.1%,240,4.2%,63,1.1%,"1,396",24.5%,344,6.0%,"4,746",83.2%,84.7%
16,2023-24,"5,592",332,453,435,415,431,401,411,425,262,295,328,308,337,410,349,"2,734",48.9%,"2,856",51.1%,2,0.0%,137,2.4%,"3,563",63.7%,"1,438",25.7%,82,1.5%,63,1.1%,267,4.8%,42,0.8%,"1,367",24.4%,522,9.3%,"4,899",87.6%,86.5%
16,2024-25,"5,416",329,424,418,425,397,418,394,392,297,264,285,322,356,345,350,"2,656",49.0%,"2,759",50.9%,1,0.0%,122,2.3%,"3,446",63.6%,"1,393",25.7%,100,1.8%,58,1.1%,261,4.8%,36,0.7%,"1,341",24.8%,534,9.9%,"4,701",86.8%,86.0%
17,2020-21,"20,533",408,"1,454","1,028","1,128","1,034","1,201","1,178","1,231","1,388","1,474","1,533","2,032","1,859","1,768","1,817","10,400",50.7%,"10,133",49.3%,,,625,3.0%,"14,702",71.6%,"3,461",16.9%,236,1.1%,273,1.3%,"1,027",5.0%,209,1.0%,"3,933",19.2%,"1,966",9.6%,"16,473",80.2%,77.5%
17,2021-22,"20,128","1,117","1,513","1,025",990,995,966,"1,099","1,137","1,171","1,346","1,436","2,117","1,773","1,681","1,762","10,157",50.5%,"9,971",49.5%,,,605,3.0%,"14,281",71.0%,"3,469",17.2%,236,1.2%,260,1.3%,"1,160",5.8%,117,0.6%,"3,864",19.2%,"1,935",9.6%,"15,599",77.5%,74.3%
17,2022-23,"19,328","1,138","1,702","1,035","1,023",945,951,945,"1,078","1,127","1,151","1,311","1,835","1,815","1,589","1,683","9,683",50.1%,"9,644",49.9%,1,0.0%,543,2.8%,"13,229",68.4%,"3,484",18.0%,244,1.3%,248,1.3%,"1,181",6.1%,399,2.1%,"3,754",19.4%,"1,853",9.6%,"15,637",80.9%,78.0%
17,2023-24,"18,875","1,005","1,516","1,104","1,004","1,011",937,977,983,"1,131","1,137","1,162","1,939","1,739","1,683","1,547","9,510",50.4%,"9,363",49.6%,2,0.0%,519,2.7%,"12,930",68.5%,"3,606",19.1%,247,1.3%,247,1.3%,"1,183",6.3%,143,0.8%,"3,796",20.1%,"2,116",11.2%,"15,733",83.4%,80.8%
17,2024-25,"18,912","1,113","1,509","1,029","1,090","1,003","1,016",929,"1,043",971,"1,138","1,182","1,832","1,777","1,566","1,714","9,520",50.3%,"9,387",49.6%,5,0.0%,461,2.4%,"12,818",67.8%,"3,695",19.5%,287,1.5%,246,1.3%,"1,273",6.7%,132,0.7%,"3,733",19.7%,"2,365",12.5%,"15,266",80.7%,80.6%
18,2020-21,"12,602",152,966,772,764,786,880,931,"1,013",942,940,"1,057",863,893,770,873,"6,037",47.9%,"6,565",52.1%,,,286,2.3%,"10,372",82.3%,"1,155",9.2%,95,0.8%,113,0.9%,525,4.2%,56,0.4%,"2,588",20.5%,908,7.2%,"9,826",78.0%,74.0%
18,2021-22,"12,068",813,"1,072",675,732,688,731,797,878,828,888,892,835,763,707,769,"5,723",47.4%,"6,345",52.6%,,,285,2.4%,"9,868",81.8%,"1,108",9.2%,103,0.9%,108,0.9%,523,4.3%,73,0.6%,"2,465",20.4%,864,7.2%,"8,987",74.5%,69.5%
18,2022-23,"11,768",848,"1,189",699,701,708,698,702,810,773,812,859,749,810,701,709,"5,594",47.5%,"6,174",52.5%,0,0.0%,317,2.7%,"9,288",78.9%,"1,199",10.2%,103,0.9%,123,1.0%,588,5.0%,150,1.3%,"2,436",20.7%,847,7.2%,"9,322",79.2%,74.9%
18,2023-24,"11,762",795,"1,093",806,689,723,741,745,728,744,776,835,785,775,808,719,"5,615",47.7%,"6,147",52.3%,0,0.0%,327,2.8%,"9,278",78.9%,"1,253",10.7%,120,1.0%,136,1.2%,595,5.1%,53,0.5%,"2,544",21.6%,"1,001",8.5%,"9,774",83.1%,78.9%
18,2024-25,"12,244",661,"1,065",774,833,738,780,786,752,766,803,846,890,948,814,788,"5,801",47.4%,"6,437",52.6%,6,0.0%,356,2.9%,"9,442",77.1%,"1,532",12.5%,115,0.9%,152,1.2%,592,4.8%,55,0.4%,"2,599",21.2%,"1,397",11.4%,"10,075",82.3%,80.2%
19,2020-21,"20,872",859,"1,471","1,230","1,358","1,379","1,432","1,485","1,545","1,424","1,563","1,587","1,641","1,511","1,233","1,154","9,896",47.4%,"10,976",52.6%,,,"1,786",8.6%,"8,544",40.9%,"9,418",45.1%,174,0.8%,323,1.5%,440,2.1%,187,0.9%,"4,451",21.3%,"2,706",13.0%,"18,469",88.5%,87.4%
19,2021-22,"19,959","1,058","1,440","1,345","1,242","1,250","1,274","1,348","1,396","1,366","1,365","1,474","1,600","1,394","1,308","1,099","9,512",47.7%,"10,447",52.3%,,,"1,719",8.6%,"8,111",40.6%,"9,202",46.1%,114,0.6%,313,1.6%,410,2.1%,90,0.5%,"4,250",21.3%,"2,749",13.8%,"17,114",85.7%,85.0%
19,2022-23,"19,490","1,054","1,454","1,237","1,277","1,187","1,225","1,244","1,352","1,297","1,364","1,385","1,546","1,524","1,226","1,118","9,332",47.9%,"10,158",52.1%,0,0.0%,"1,676",8.6%,"7,705",39.5%,"8,915",45.7%,125,0.6%,345,1.8%,394,2.0%,330,1.7%,"4,291",22.0%,"2,753",14.1%,"17,325",88.9%,87.7%
19,2023-24,"19,532",919,"1,339","1,302","1,291","1,290","1,232","1,229","1,291","1,282","1,329","1,405","1,629","1,544","1,319","1,131","9,382",48.0%,"10,150",52.0%,0,0.0%,"1,732",8.9%,"7,343",37.6%,"9,432",48.3%,118,0.6%,328,1.7%,392,2.0%,187,1.0%,"4,278",21.9%,"3,295",16.9%,"17,753",90.9%,89.5%
19,2024-25,"19,705",922,"1,351","1,239","1,339","1,286","1,322","1,265","1,275","1,182","1,317","1,362","1,678","1,588","1,393","1,186","9,537",48.4%,"10,167",51.6%,1,0.0%,"1,826",9.3%,"7,251",36.8%,"9,544",48.4%,149,0.8%,327,1.7%,431,2.2%,177,0.9%,"4,298",21.8%,"3,553",18.0%,"17,766",90.2%,89.4%
20,2020-21,"52,641",410,"3,774","3,719","3,800","3,683","4,101","3,948","3,860","4,061","3,982","4,119","3,772","3,640","2,963","2,809","25,365",48.2%,"27,276",51.8%,,,"23,201",44.1%,"1,258",2.4%,"14,064",26.7%,424,0.8%,197,0.4%,"13,295",25.3%,202,0.4%,"8,631",16.4%,"11,906",22.6%,"40,312",76.6%,75.4%
20,2021-22,"50,411","1,880","3,347","3,417","3,555","3,496","3,452","3,822","3,742","3,613","3,875","3,880","3,342","3,433","2,668","2,889","24,234",48.1%,"26,177",51.9%,,,"21,906",43.5%,"1,174",2.3%,"13,835",27.4%,394,0.8%,194,0.4%,"12,694",25.2%,214,0.4%,"8,536",16.9%,"10,986",21.8%,"37,192",73.8%,72.6%
20,2022-23,"50,141","2,615","3,395","3,221","3,503","3,524","3,462","3,414","3,831","3,699","3,630","3,901","3,314","3,133","2,764","2,735","24,130",48.1%,"26,011",51.9%,0,0.0%,"21,496",42.9%,"1,108",2.2%,"13,787",27.5%,437,0.9%,216,0.4%,"12,591",25.1%,506,1.0%,"8,666",17.3%,"10,351",20.6%,"38,208",76.2%,75.8%
20,2023-24,"50,168","2,572","3,479","3,170","3,314","3,582","3,571","3,528","3,489","3,812","3,761","3,735","3,652","3,185","2,583","2,735","24,148",48.1%,"26,019",51.9%,1,0.0%,"21,724",43.3%,"1,023",2.0%,"14,073",28.1%,507,1.0%,224,0.4%,"12,509",24.9%,108,0.2%,"8,702",17.3%,"10,577",21.1%,"39,604",78.9%,77.7%
20,2024-25,"49,977","2,623","3,314","3,117","3,189","3,341","3,629","3,603","3,602","3,567","3,902","3,864","3,436","3,471","2,695","2,624","24,052",48.1%,"25,919",51.9%,6,0.0%,"21,464",42.9%,953,1.9%,"14,250",28.5%,554,1.1%,222,0.4%,"12,379",24.8%,155,0.3%,"8,562",17.1%,"11,038",22.1%,"39,060",78.2%,77.2%
21,2020-21,"36,039",180,"2,566","1,924","2,086","2,043","2,070","2,094","2,082","3,304","3,157","3,172","3,261","3,238","2,436","2,426","17,598",48.8%,"18,441",51.2%,,,"9,386",26.0%,"4,548",12.6%,"9,056",25.1%,301,0.8%,281,0.8%,"12,059",33.5%,408,1.1%,"6,573",18.2%,"6,814",18.9%,"26,209",72.7%,74.1%
21,2021-22,"36,618","1,583","2,660","1,930","1,936","1,961","1,927","1,926","2,014","2,973","3,117","3,060","3,601","3,009","2,540","2,381","17,843",48.7%,"18,775",51.3%,,,"9,358",25.6%,"4,461",12.2%,"9,368",25.6%,351,1.0%,276,0.8%,"12,507",34.2%,297,0.8%,"6,849",18.7%,"6,557",17.9%,"25,684",70.1%,71.2%
21,2022-23,"37,501","1,978","2,762","1,888","2,060","1,992","1,968","2,006","2,042","2,979","3,000","3,224","3,414","3,243","2,487","2,458","18,364",49.0%,"19,134",51.0%,3,0.0%,"9,282",24.8%,"4,357",11.6%,"9,400",25.1%,388,1.0%,260,0.7%,"13,217",35.2%,597,1.6%,"6,873",18.3%,"7,188",19.2%,"27,847",74.3%,75.5%
21,2023-24,"37,914","2,071","2,808","1,911","1,984","2,115","2,017","2,045","2,086","3,151","2,977","3,107","3,366","3,102","2,803","2,371","18,511",48.8%,"19,396",51.2%,7,0.0%,"9,465",25.0%,"4,201",11.1%,"9,523",25.1%,471,1.2%,278,0.7%,"13,822",36.5%,154,0.4%,"6,971",18.4%,"7,548",19.9%,"29,541",77.9%,78.0%
21,2024-25,"37,787","1,930","2,713","1,908","1,962","1,988","2,100","2,015","2,090","3,116","3,196","3,093","3,380","2,990","2,592","2,714","18,515",49.0%,"19,269",51.0%,3,0.0%,"9,559",25.3%,"3,972",10.5%,"9,519",25.2%,523,1.4%,265,0.7%,"13,778",36.5%,171,0.5%,"6,884",18.2%,"7,389",19.6%,"29,012",76.8%,77.5%
22,2020-21,"33,431",206,"2,491","2,264","2,398","2,409","2,500","2,464","2,550","1,960","1,983","1,986","2,629","2,706","2,490","2,395","16,477",49.3%,"16,954",50.7%,,,"7,353",22.0%,"8,942",26.7%,"5,157",15.4%,445,1.3%,294,0.9%,"11,031",33.0%,209,0.6%,"5,933",17.7%,"4,161",12.4%,"23,254",69.6%,64.5%
22,2021-22,"32,524","1,393","2,434","2,137","2,185","2,222","2,227","2,346","2,315","1,778","1,841","1,909","2,433","2,639","2,256","2,409","16,173",49.7%,"16,351",50.3%,,,"7,367",22.7%,"8,318",25.6%,"4,947",15.2%,472,1.5%,305,0.9%,"10,870",33.4%,245,0.8%,"5,893",18.1%,"3,963",12.2%,"21,807",67.0%,61.9%
22,2022-23,"33,434","1,997","2,611","2,212","2,205","2,226","2,243","2,230","2,402","1,724","1,801","1,896","2,766","2,548","2,360","2,213","16,521",49.4%,"16,905",50.6%,8,0.0%,"7,704",23.0%,"8,047",24.1%,"5,041",15.1%,533,1.6%,315,0.9%,"11,474",34.3%,320,1.0%,"6,081",18.2%,"4,405",13.2%,"23,347",69.8%,66.6%
22,2023-24,"33,620","1,903","2,648","2,255","2,320","2,259","2,240","2,276","2,318","1,797","1,793","1,868","2,564","2,764","2,257","2,358","16,555",49.2%,"17,061",50.7%,4,0.0%,"7,906",23.5%,"7,830",23.3%,"5,186",15.4%,604,1.8%,337,1.0%,"11,622",34.6%,135,0.4%,"6,116",18.2%,"4,952",14.7%,"24,471",72.8%,70.2%
22,2024-25,"33,603","1,569","2,597","2,300","2,365","2,333","2,288","2,305","2,365","1,818","1,906","1,856","2,546","2,664","2,444","2,247","16,397",48.8%,"17,202",51.2%,4,0.0%,"7,822",23.3%,"7,673",22.8%,"5,725",17.0%,657,2.0%,324,1.0%,"11,296",33.6%,106,0.3%,"5,918",17.6%,"5,290",15.7%,"24,551",73.1%,70.7%
23,2020-21,"8,309",425,672,567,562,561,607,599,641,705,749,818,388,343,351,321,"3,767",45.3%,"4,542",54.7%,,,117,1.4%,"5,969",71.8%,"1,834",22.1%,110,1.3%,91,1.1%,129,1.6%,59,0.7%,"2,055",24.7%,421,5.1%,"7,369",88.7%,89.7%
23,2021-22,"7,863",476,616,523,566,530,512,563,584,657,687,706,463,396,317,267,"3,585",45.6%,"4,278",54.4%,,,102,1.3%,"5,624",71.5%,"1,867",23.7%,59,0.8%,79,1.0%,111,1.4%,21,0.3%,"1,898",24.1%,422,5.4%,"7,005",89.1%,88.4%
23,2022-23,"7,895",448,591,530,530,552,541,501,586,630,673,694,420,505,355,339,"3,636",46.1%,"4,259",53.9%,0,0.0%,84,1.1%,"5,435",68.8%,"2,005",25.4%,70,0.9%,82,1.0%,115,1.5%,104,1.3%,"2,046",25.9%,552,7.0%,"7,179",90.9%,90.9%
23,2023-24,"7,975",452,574,530,576,554,552,551,530,640,631,672,466,456,446,345,"3,690",46.3%,"4,285",53.7%,0,0.0%,94,1.2%,"5,163",64.7%,"2,361",29.6%,74,0.9%,92,1.2%,117,1.5%,74,0.9%,"1,995",25.0%,794,10.0%,"7,403",92.8%,92.5%
23,2024-25,"7,763",468,562,513,499,556,539,527,551,528,606,638,466,454,402,454,"3,618",46.6%,"4,145",53.4%,0,0.0%,89,1.1%,"5,083",65.5%,"2,243",28.9%,76,1.0%,93,1.2%,120,1.5%,59,0.8%,"1,973",25.4%,749,9.6%,"7,122",91.7%,92.0%
24,2020-21,"55,158",175,"3,356","4,082","4,074","4,267","4,336","4,417","4,356","4,009","4,278","4,311","3,575","3,552","3,046","3,324","26,309",47.7%,"28,849",52.3%,,,"10,921",19.8%,"1,371",2.5%,"34,902",63.3%,279,0.5%,322,0.6%,"7,063",12.8%,300,0.5%,"9,671",17.5%,"12,924",23.4%,"42,498",77.0%,73.9%
24,2021-22,"54,197","1,489","3,263","3,762","3,930","3,958","4,146","4,211","4,084","3,779","4,067","4,301","3,892","3,226","2,966","3,123","25,767",47.5%,"28,430",52.5%,,,"10,306",19.0%,"1,193",2.2%,"35,121",64.8%,333,0.6%,313,0.6%,"6,595",12.2%,336,0.6%,"9,330",17.2%,"14,243",26.3%,"40,280",74.3%,71.0%
24,2022-23,"53,707","1,934","3,337","3,602","3,725","3,841","3,948","4,108","4,029","3,767","3,910","4,131","3,820","3,586","2,739","3,230","25,623",47.7%,"28,082",52.3%,2,0.0%,"9,649",18.0%,"1,158",2.2%,"35,145",65.4%,378,0.7%,366,0.7%,"6,344",11.8%,667,1.2%,"9,253",17.2%,"14,499",27.0%,"41,488",77.2%,74.8%
24,2023-24,"53,446","1,984","3,296","3,485","3,638","3,785","3,935","4,023","4,026","3,748","4,038","4,058","3,594","3,661","3,158","3,017","25,523",47.8%,"27,915",52.2%,8,0.0%,"9,401",17.6%,"1,130",2.1%,"35,812",67.0%,431,0.8%,332,0.6%,"6,059",11.3%,281,0.5%,"9,532",17.8%,"15,060",28.2%,"43,531",81.4%,78.2%
24,2024-25,"52,681","2,066","3,270","3,253","3,484","3,641","3,795","3,908","3,866","3,626","3,880","4,097","3,725","3,444","3,151","3,475","25,132",47.7%,"27,541",52.3%,8,0.0%,"9,168",17.4%,"1,169",2.2%,"35,365",67.1%,461,0.9%,397,0.8%,"5,877",11.2%,244,0.5%,"9,320",17.7%,"14,902",28.3%,"42,235",80.2%,78.0%
25,2020-21,"37,515",75,"2,832","2,683","2,755","2,751","2,851","2,789","2,625","2,780","2,810","2,887","2,465","2,658","2,434","2,120","18,279",48.7%,"19,236",51.3%,,,"18,682",49.8%,"2,329",6.2%,"11,404",30.4%,419,1.1%,231,0.6%,"4,209",11.2%,241,0.6%,"5,686",15.2%,"7,249",19.3%,"26,285",70.1%,64.6%
25,2021-22,"37,197","1,625","2,514","2,617","2,581","2,584","2,563","2,693","2,652","2,561","2,631","2,710","2,617","2,418","2,258","2,173","18,282",49.1%,"18,915",50.9%,,,"18,096",48.6%,"2,146",5.8%,"11,813",31.8%,443,1.2%,218,0.6%,"4,182",11.2%,299,0.8%,"5,668",15.2%,"7,356",19.8%,"24,873",66.9%,61.7%
25,2022-23,"37,360","2,150","2,587","2,480","2,629","2,546","2,553","2,532","2,674","2,655","2,527","2,632","2,694","2,481","2,197","2,023","18,340",49.1%,"19,015",50.9%,5,0.0%,"17,739",47.5%,"1,948",5.2%,"12,341",33.0%,482,1.3%,250,0.7%,"4,096",11.0%,504,1.3%,"5,915",15.8%,"7,569",20.3%,"26,155",70.0%,66.6%
25,2023-24,"37,623","2,018","2,651","2,463","2,561","2,666","2,595","2,613","2,597","2,799","2,692","2,679","2,429","2,540","2,298","2,022","18,326",48.7%,"19,293",51.3%,4,0.0%,"17,762",47.2%,"1,853",4.9%,"13,070",34.7%,519,1.4%,223,0.6%,"3,894",10.4%,302,0.8%,"6,127",16.3%,"8,289",22.0%,"27,276",72.5%,69.4%
25,2024-25,"37,534","2,160","2,370","2,457","2,435","2,535","2,659","2,582","2,647","2,660","2,818","2,764","2,623","2,395","2,316","2,113","18,275",48.7%,"19,256",51.3%,3,0.0%,"17,610",46.9%,"1,824",4.9%,"13,290",35.4%,542,1.4%,269,0.7%,"3,745",10.0%,254,0.7%,"6,120",16.3%,"8,813",23.5%,"26,536",70.7%,69.1%
26,2020-21,"31,661",28,"1,666","1,670","1,695","1,736","1,833","1,722","1,795","1,927","1,997","2,167","3,898","3,414","3,164","2,949","15,492",48.9%,"16,169",51.1%,,,"17,039",53.8%,"3,434",10.8%,"5,603",17.7%,481,1.5%,355,1.1%,"4,600",14.5%,149,0.5%,"4,694",14.8%,"2,931",9.3%,"18,155",57.3%,49.2%
26,2021-22,"30,859",912,"1,490","1,624","1,635","1,573","1,664","1,751","1,663","1,760","1,802","1,946","3,684","3,323","3,117","2,915","15,103",48.9%,"15,756",51.1%,,,"16,790",54.4%,"3,243",10.5%,"5,625",18.2%,511,1.7%,342,1.1%,"4,159",13.5%,189,0.6%,"4,644",15.0%,"2,761",8.9%,"17,561",56.9%,47.8%
26,2022-23,"30,607","1,197","1,567","1,519","1,589","1,610","1,588","1,662","1,759","1,790","1,763","1,793","3,414","3,302","3,225","2,829","14,988",49.0%,"15,616",51.0%,3,0.0%,"16,742",54.7%,"3,034",9.9%,"5,722",18.7%,544,1.8%,326,1.1%,"3,881",12.7%,358,1.2%,"4,703",15.4%,"2,706",8.8%,"17,788",58.1%,51.0%
26,2023-24,"31,107","1,227","1,663","1,549","1,574","1,650","1,662","1,642","1,705","1,882","1,854","1,795","3,652","3,243","3,092","2,917","15,288",49.1%,"15,813",50.8%,6,0.0%,"17,097",55.0%,"2,980",9.6%,"6,246",20.1%,617,2.0%,353,1.1%,"3,735",12.0%,79,0.3%,"4,810",15.5%,"3,148",10.1%,"18,834",60.5%,53.8%
